,band,tract,patch,fwhm
0,g,2234,0,1.0532102525316251
1,g,2234,1,1.0604517380816936
2,g,2234,2,1.0565859825356478
3,g,2234,3,1.055425306900661
4,g,2234,4,1.0081866853248023
5,g,2234,5,1.012494374211343
6,g,2234,6,0.969350409478672
7,g,2234,7,1.0220900204523224
8,g,2234,8,1.0102594977355668
9,g,2234,9,1.0745374705826807
10,g,2234,10,1.0027696291894512
11,g,2234,11,1.0394174254323525
12,g,2234,12,1.032370603556547
13,g,2234,13,0.9787018449412259
14,g,2234,14,0.986260457702848
15,g,2234,15,0.9842020125206707
16,g,2234,16,1.0404278392932396
17,g,2234,17,0.9583873384517922
18,g,2234,18,1.0307681871477994
19,g,2234,19,0.9976513718958243
20,g,2234,20,1.033943263402605
21,g,2234,21,1.0191024101338788
22,g,2234,22,1.0105296450460528
23,g,2234,23,1.0086085068180197
24,g,2234,24,1.0127919438702178
25,g,2234,25,1.0098465296774861
26,g,2234,26,0.9942681491224632
27,g,2234,27,0.9929281530543875
28,g,2234,28,0.9691942822314529
29,g,2234,29,1.0287356779555568
30,g,2234,30,1.0429125619825477
31,g,2234,31,1.0153053896583544
32,g,2234,32,1.0295328096139305
33,g,2234,33,1.0155704487290331
34,g,2234,34,0.9927995792656067
35,g,2234,35,0.9867357851999737
36,g,2234,36,1.0365759217311086
37,g,2234,37,0.9932487075559033
38,g,2234,38,0.9972435485156463
39,g,2234,39,0.9674498266195221
40,g,2234,40,1.0289578526157381
41,g,2234,41,1.0191449768640526
42,g,2234,42,1.0000777811615893
43,g,2234,43,0.9941214297515745
44,g,2234,44,1.0203960332356925
45,g,2234,45,0.9982583763292674
46,g,2234,46,0.9893463894255066
47,g,2234,47,0.9966543405766508
48,g,2234,48,1.0187604305161129
49,g,2234,49,1.0018249074691936
50,g,2234,50,1.0374131930907886
51,g,2234,51,1.0401560147400855
52,g,2234,52,1.0048804891052368
53,g,2234,53,1.0168523443792732
54,g,2234,54,1.0202821316102568
55,g,2234,55,1.0189044614226372
56,g,2234,56,0.9961050349636758
57,g,2234,57,0.9794667077646905
58,g,2234,58,0.9962844928870753
59,g,2234,59,1.0031998161952618
60,g,2234,60,1.0398848382702444
61,g,2234,61,1.0421620380736933
62,g,2234,62,1.027948469596218
63,g,2234,63,1.0142751780989732
64,g,2234,64,1.008757047483757
65,g,2234,65,1.002464274230921
66,g,2234,66,0.9933883858050147
67,g,2234,67,0.9872541208081513
68,g,2234,68,1.0056679903896544
69,g,2234,69,1.0057290627800672
70,g,2234,70,1.034069262165264
71,g,2234,71,1.0170518433076405
72,g,2234,72,1.0062771871627836
73,g,2234,73,1.0101349861820281
74,g,2234,74,0.9781943310294591
75,g,2234,75,0.9844044096694884
76,g,2234,76,0.9807044605914519
77,g,2234,77,0.9781687607827773
78,g,2234,78,0.9808256809261917
79,g,2234,79,1.0026972968079262
80,g,2234,80,1.0525493367555814
81,g,2234,81,1.010115968511948
82,g,2234,82,1.0190028329451961
83,g,2234,83,1.013674845373022
84,g,2234,84,0.9817629278931421
85,g,2234,85,0.9789922478116788
86,g,2234,86,0.9830231673253199
87,g,2234,87,0.986892774960447
88,g,2234,88,1.0181835404269168
89,g,2234,89,0.98222698833006
90,g,2234,90,1.017829253325077
91,g,2234,91,1.0205958028601272
92,g,2234,92,0.9968500686420829
93,g,2234,93,0.9835910139919009
94,g,2234,94,1.0141673967817344
95,g,2234,95,0.9755065923976254
96,g,2234,96,1.0106706462410702
97,g,2234,97,1.0041589771092703
98,g,2234,98,0.9828845860118474
99,g,2234,99,0.9878854943280928
100,i,2234,0,0.8650566682829739
101,i,2234,1,0.8656914907270292
102,i,2234,2,0.8498806898294575
103,i,2234,3,0.8344440101311653
104,i,2234,4,0.8662018942966759
105,i,2234,5,0.8457032829129125
106,i,2234,6,0.842318097805671
107,i,2234,7,0.8488034063958128
108,i,2234,8,0.8140162913253634
109,i,2234,9,0.848098516224863
110,i,2234,10,0.8336565002523495
111,i,2234,11,0.8683653019694662
112,i,2234,12,0.8439908498593307
113,i,2234,13,0.8451096806160152
114,i,2234,14,0.8401459394667059
115,i,2234,15,0.8678561820923998
116,i,2234,16,0.835795679231345
117,i,2234,17,0.8352623654404274
118,i,2234,18,0.8536561775881699
119,i,2234,19,0.8461744366480501
120,i,2234,20,0.8364061901492509
121,i,2234,21,0.8473865718615301
122,i,2234,22,0.8440324736399394
